mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
mt_e1adb0e6,Twin Owls,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
mt_c14b7685,Balfour,,,,unknown,,Alberta,51.5667,-116.4333,Banff National Park,1
mt_717fdc7d,Bancroft,,,,unknown,,Colorado,39.5501,-105.7821,in the James Peak Wilderness,1
mt_de9e3ae7,Baron,,,,unknown,,Idaho,,,Sawtooth Mountain,1
mt_fa9c8ab9,Barrier,,,,unknown,,Alberta,,,Barrier Mountain,1
mt_aab9e1de,Table,,,,unknown,,Wyoming,43.7904,-110.6818,Grand Teton National Park,1
mt_43e377c2,Tammay,,,,unknown,,Delaware,,,Head Wall,1
mt_2425265e,Tantalus,,8540.0,5810.0,peak,Coast Mountains,British Columbia,53.7267,-127.6476,Coast Mountains,1
mt_306743b0,Tattoo,,,,unknown,,,,,Tattoo Wall,1
mt_7d8bc5f1,Taylor,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
mt_d04f9328,Tectonic,,,,unknown,,,,,Tectonic Wall,1
mt_ede997b0,Terminal,,,,unknown,,British Columbia,50.2667,-117.2833,Selkirk Mountain,1
mt_3a232003,Terror,,,,unknown,,Washington,47.7511,-120.7401,,1
mt_4dfb2301,Willard,,,,unknown,,,,,and members of Mountain,1
mt_e4f1ee70,Victory,,,,unknown,,,,,Victory Wall,1
mt_1fed7ace,Vittles,,,,unknown,,,,,Vittles Wall,1
mt_51513ba3,Waddington,,13186.0,9515.0,peak,Coast Mountains,British Columbia,51.3731,-125.2631,Coast Mountain,1
mt_37eff4bf,Vesper,,,,unknown,,Washington,47.7511,-120.7401,Vesper Peak,1
